=======================================================================================
INTELLIGENCE PROJECTS DATA FILE
=======================================================================================

Type:
Ship - Damage, Ship - Lose Movement, Ship - Lose Supply, Ship - Rebel, 
Ship - Experience Change, Ship - Cargo Damage, Ship - Orders Change, 
Ship - Locations, Ship - Concentrations, Ship - Construction Info, 
Ship Designs - Steal, Planet - Conditions Change, Planet - Value Change, 
Planet - Population Change, Planet - Population Anger Change, 
Planet - Population Rebel, Planet - Cargo Damage, Planet - Facility Damage, 
Planet - Info, Planet - Locations, Points - Change, Points - Steal, 
Research - Steal, Research - Delete Project, Intel - Delete Project, 
Politics - Disrupt Trade, Politics - Intercept Messages, Politics - Fake Messages, 
Politics - Treaty Info, Politics - Prevent Messages, System - Info, Empire - Info, 
Unit Designs - Steal, Tech Level - Info

Replacement Symbols used for Messages: 
[%SystemName]          - Target System Name           
[%SectorName]          - Target Sector Name (Number)
[%SourceEmperorName]   - Source Emperor's Name (includes Title)
[%SourceEmpireName]    - Source Empire Name (includes Empire Type)
[%TargetEmperorName]   - Target Emperor's Name (includes Title)
[%TargetEmpireName]    - Target Empire Name (includes Empire Type)
[%OtherEmperorName]    - Other Emperor's Name (includes Title)
[%OtherEmpireName]     - Other Empire Name (includes Empire Type) 
[%VehicleName]         - Vehicle Name
[%VehicleSize]         - Vehicle Size
[%PlanetName]          - Planet Name
[%DesignName]          - Design Name
[%TechName]            - Tech Area Name
[%TreatyName]          - Political Treaty
[%FacilityName]        - Facility Name



For all Messages:
The text "Intelligence Minister: " will be added to the front of all messages relating to 
intelligence projects.
For the Target Message, additional sentences may be added to the end of the message. For 
example, if the target is able to determine who caused the intelligence, a sentence such
as "We suspect the XXX Empire..." will be added to the message.


=======================================================================================
*BEGIN*
=======================================================================================

Name                      := Ship Bomb
Description               := Spies attempt to plant a bomb on a starship.
Group                     := Ship Sabotage
Cost                      := 10000
Type                      := Ship - Damage
Effect Amount             := 80
Num Source Messages       := 1
Source Message 1          := Our operatives have successfully damaged the ship [%VehicleName] of the [%TargetEmpireName] in the [%SystemName] system.
Num Target Messages       := 1
Target Message Title 1    := Ship Damaged
Target Message 1          := A bomb has exploded aboard ship [%VehicleName] in the [%SystemName] system. 
Source Picture            := IntelSabotageByUs
Target Picture            := ShipDamaged                   
Number of Tech Req        := 1
Tech Area Req 1           := Applied Intelligence
Tech Level Req 1          := 1

Name                      := Engine Damage
Description               := Spies attempt to sabotage the movement of a starship.
Group                     := Ship Sabotage
Cost                      := 10000
Type                      := Ship - Lose Movement
Effect Amount             := 1                   
Num Source Messages       := 1
Source Message 1          := Our operatives have been able to slow down the ship [%VehicleName] of the [%TargetEmpireName] in the [%SystemName] system.
Num Target Messages       := 1
Target Message Title 1    := Ship Lost Movement
Target Message 1          := Saboteurs have rendered the ship [%VehicleName] unable to move in the [%SystemName] system.
Source Picture            := IntelSabotageByUs
Target Picture            := ShipDamaged                   
Number of Tech Req        := 1
Tech Area Req 1           := Applied Intelligence
Tech Level Req 1          := 1

Name                      := Fuel Leak
Description               := Spies quickly bleed a ship of its supplies. 
Group                     := Ship Sabotage
Cost                      := 10000
Type                      := Ship - Lose Supply
Effect Amount             := 1000                   
Num Source Messages       := 1
Source Message 1          := Our spies have been able to deplete the supplies of the [%TargetEmpireName]'s ship [%VehicleName] in the [%SystemName] system.
Num Target Messages       := 1
Target Message Title 1    := Supplies Lost
Target Message 1          := For dubious reasons, our ship [%VehicleName] has lost all of its supplies.
Source Picture            := IntelSabotageByUs
Target Picture            := ShipDamaged                   
Number of Tech Req        := 1
Tech Area Req 1           := Applied Intelligence
Tech Level Req 1          := 1

Name                      := Crew Insurrection
Description               := Spies incite the crew of a ship to rebel and join your empire.
Group                     := Ship Sabotage
Cost                      := 50000
Type                      := Ship - Rebel
Effect Amount             := 1                   
Num Source Messages       := 1
Source Message 1          := Our valiant forces have persuaded the ship [%VehicleName] of the [%TargetEmpireName] to join us! 
Num Target Messages       := 1
Target Message Title 1    := Mutiny
Target Message 1          := The crew of the vessel [%VehicleName] have mutinied and joined the [%SourceEmpireName].
Source Picture            := IntelSabotageByUs
Target Picture            := ShipDamaged                   
Number of Tech Req        := 1
Tech Area Req 1           := Applied Intelligence
Tech Level Req 1          := 2

Name                      := Crew Rotation
Description               := Through faked messages, an experienced crew is broken up and reassigned.
Group                     := Ship Sabotage
Cost                      := 5000
Type                      := Ship - Experience Change
Effect Amount             := -50                   
Num Source Messages       := 1
Source Message 1          := Our spies have successfully broken up the experienced crew of the [%TargetEmpireName] ship [%VehicleName].
Num Target Messages       := 1
Target Message Title 1    := Crew Snafu
Target Message 1          := For some unknown reason, our experienced crew of the ship [%VehicleName] has been reassigned.
Source Picture            := IntelSabotageByUs
Target Picture            := ShipDamaged                   
Number of Tech Req        := 1
Tech Area Req 1           := Applied Intelligence
Tech Level Req 1          := 2

Name                      := Cargo Bomb
Description               := A small bomb placed in a cargo hold causes damage to the ship's cargo.
Group                     := Ship Sabotage
Cost                      := 5000
Type                      := Ship - Cargo Damage
Effect Amount             := 1                   
Num Source Messages       := 1
Source Message 1          := A well placed bomb by one of our operatives has damaged the cargo of ship [%VehicleName] owned by the [%TargetEmpireName].
Num Target Messages       := 1
Target Message Title 1    := Cargo Damage
Target Message 1          := The ship [%VehicleName] has survived a bomb in its cargo hold, but has lost some cargo.
Source Picture            := IntelSabotageByUs
Target Picture            := ShipDamaged                   
Number of Tech Req        := 1
Tech Area Req 1           := Applied Intelligence
Tech Level Req 1          := 1

Name                      := Order Snafu
Description               := Faked messages gives a ship new and incorrect orders.
Group                     := Ship Sabotage
Cost                      := 10000
Type                      := Ship - Orders Change
Effect Amount             := 1                   
Num Source Messages       := 1
Source Message 1          := Our operatives have been able to give the [%TargetEmpireName] ship [%VehicleName] new orders.
Num Target Messages       := 1
Target Message Title 1    := Orders Changed
Target Message 1          := Our ship [%VehicleName] has had its orders changed.
Source Picture            := IntelSabotageByUs
Target Picture            := ShipDamaged                   
Number of Tech Req        := 1
Tech Area Req 1           := Applied Intelligence
Tech Level Req 1          := 1

Name                      := Force Concentrations
Description               := Stolen empire communications detail ship concentrations in various systems.
Group                     := General Espionage
Cost                      := 10000
Type                      := Ship - Concentrations
Effect Amount             := 1                   
Num Source Messages       := 1
Source Message 1          := Our operatives have successfully retrieved documentation on the [%TargetEmpireName]'s ship concentrations.
Num Target Messages       := 1
Target Message Title 1    := Information Stolen
Target Message 1          := Detailed information about our force concentrations have been stolen.
Source Picture            := IntelEspionageByUs
Target Picture            := IntelEspionageAgainstUs                   
Number of Tech Req        := 1
Tech Area Req 1           := Applied Intelligence
Tech Level Req 1          := 2

Name                      := Queue Concentrations
Description               := Census materials on the largest concentrations of construction queues in the empire.
Group                     := General Espionage
Cost                      := 10000
Type                      := Ship - Construction Info
Effect Amount             := 1                   
Num Source Messages       := 1
Source Message 1          := Our spies have retrieved details on the [%TargetEmpireName]'s construction queue locations.
Num Target Messages       := 1
Target Message Title 1    := Information Stolen
Target Message 1          := Our construction queue locations have been stolen from the records department.
Source Picture            := IntelEspionageByUs
Target Picture            := IntelEspionageAgainstUs                   
Number of Tech Req        := 1
Tech Area Req 1           := Applied Intelligence
Tech Level Req 1          := 2

Name                      := Ship Blueprints
Description               := Spies infiltrate construction yards and return with complete ship schematics.
Group                     := General Espionage
Cost                      := 15000
Type                      := Ship Designs - Steal
Effect Amount             := 1                   
Num Source Messages       := 1
Source Message 1          := A daring intelligence operation has resulted in ship schematics of the [%DesignName] from the [%TargetEmpireName].
Num Target Messages       := 1
Target Message Title 1    := Ship Designs Stolen
Target Message 1          := Our design for the [%DesignName] have been compromised by enemy forces.
Source Picture            := IntelEspionageByUs
Target Picture            := IntelEspionageAgainstUs                   
Number of Tech Req        := 1
Tech Area Req 1           := Applied Intelligence
Tech Level Req 1          := 2

Name                      := Weather Disruptions
Description               := Carefully planted atmosphere bombs damage the conditions of the planet.
Group                     := Planet Sabotage
Cost                      := 20000
Type                      := Planet - Conditions Change
Effect Amount             := -8                   
Num Source Messages       := 1
Source Message 1          := An atmospheric bomb planted by our spies has damaged the conditions of planet [%PlanetName] owned by the [%TargetEmpireName].
Num Target Messages       := 1
Target Message Title 1    := Planet Conditions Damaged
Target Message 1          := A saboteur has detonated an atmospheric bomb damaging the conditions of planet [%PlanetName].
