=======================================================================================
GAME SETTINGS DATA FILE
=======================================================================================

Maximum Number Of Systems:
  Number of Systems the galaxy can contain. The maximum value for this
  setting is 255. 

=======================================================================================
*BEGIN*
=======================================================================================

Allow CD Music                                                        := TRUE
Use Old Log Political Message Display                                 := FALSE
Maximum Number Of Systems                                             := 100
Minimum Empire Minerals Generation                                    := 200
Minimum Empire Organics Generation                                    := 200
Minimum Empire Radioactives Generation                                := 200
Minimum Empire Point Storage                                          := 50000
Scrap Facility Percent Returned                                       := 30
Scrap Unit Percent Returned                                           := 30
Scrap Ship Percent Returned                                           := 30
UnMothball Ship Percent Cost			                      := 20
Maximum Trade Percentage                                              := 20
Treaty Subjugated Resource Percentage                                 := 40
Treaty Protectorate Resource Percentage                               := 20
Planet Value Low Percent                                              := 0
Planet Value High Percent                                             := 150
Planet Value Low Resources                                            := 0
Planet Value High Resources                                           := 500000
Asteroids Value Low Percent                                           := 50
Asteroids Value High Percent                                          := 300
Asteroids Value Low Resources                                         := 100000
Asteroids Value High Resources                                        := 800000
Plr Planet Value Low Percent                                          := 80
Plr Planet Value Medium Percent                                       := 100
Plr Planet Value High Percent                                         := 120
Plr Planet Value Low Resources                                        := 200000
Plr Planet Value Medium Resources                                     := 1000000
Plr Planet Value High Resources                                       := 2000000
Upgrade Facility Cost Percent                                         := 50
Event Percent Chance Low                                              := 5
Event Percent Chance Medium                                           := 10
Event Percent Chance High                                             := 25
Maintenance Cost Amt Per Dead                                         := 20000                  
Empire Starting Percent Maint Cost                                    := 25
Empire Starting Percent Reproduction                                  := 10 
Combat Fighter Group Amount                                           := 20
Combat Mine Group Amount                                              := 20
Combat Satellite Group Amount                                         := 20
Defending Units Per Population                                        := 20
Population Defender Attack Strength                                   := 10
Population Defender Hit Points                                        := 30
Automatic Colonization Population                                     := 0
Planet Value Percent Loss After Owner Death                           := 10
Retrofit Cost Percent For Comps                                       := 120
Retrofit Cost Percent For Comp Removal                                := 30
Retrofit Max Percent Difference in Cost                               := 50
Empire Base Planet Mineral Usage Rate                                 := 2000
Empire Base Planet Organic Usage Rate                                 := 2000 
Empire Base Planet Radioactive Usage Rate                             := 2000
Maximum Emergency Build Turns                                         := 10
Construction Queue Emergency Build Rate Percent                       := 150
Construction Queue Slow Build Rate Percent                            := 25
Damage Points To Kill One Population                                  := 10
Population Required to Operate One Facility                           := 50
Remote Mining Decreases Asteroid Value                                := True
Number Of Population Modifiers                                        := 101
Pop Modifier 1 Population Amount                                      := 19
Pop Modifier 1 Production Modifier Percent                            := 100
Pop Modifier 1 SY Rate Modifier Percent                               := 100
Pop Modifier 2 Population Amount                                      := 39
Pop Modifier 2 Production Modifier Percent                            := 101
