=======================================================================================
AI DESIGN TYPES DATA FILE - Normal
=======================================================================================

*** This must be the same name as the AI Script file with a _DesignTypes
    appended to it.

New Design Created - 
  A design is created when a new Component or Vehicle Size has been researched 
  after the date the design was created. All Vehicle Sizes as fair game, and any 
  components which are part of the design type.

Vehicle Size Used Requirements - 
  Vehicle Type is correct for this Design Type.
  Have the necessary tech for this Vehicle Size.
  Vehicle Size discovery date is equal to or better than that of the last 
    design for this Design Type.
  Vehicle Size falls within the required Minimum and Maximum range of Tonnage.
  Can support the minimum and maximum required speeds.
    (enough spaces for engines to provide the minimum speed)
    (allows no movement for a Maximum Speed of zero) 
  Does not have any Min Percent requirements for a comp type different
    than the Majority Comp Type.
  Does not have any Max Percent requirements for the Majority Comp Type.


Strategies
  Optimal Firing Range, Don't Get Hurt, Capture Enemy Ships, Capture Planet, 
  Fighter Attack

// STILL NEED:
Roles that each design type can be used for:
Type 1 Role Used in Attack                             := True
Type 1 Role Used in Defense                            := False

=======================================================================================
*BEGIN*
=======================================================================================

Name                                            := Attack Ship
Design Type                                     := Attack Ship
Vehicle Type                                    := Ship
Default Strategy                                := Optimal Firing Range
Size Minimum Tonnage                            := 10
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Weapon
Minimum Speed                                   := 4
Desired Speed                                   := 6
Majority Weapon Family Pick 1                   := 34
Majority Weapon Family Pick 2                   := 1
Majority Weapon Family Pick 3                   := 25 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 35
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 200
Majority Comp Spaces Per One                    := 200
Majority Comp Ability                           := Weapon
Secondary Comp Spaces Per One                   := 250
Secondary Comp Ability                          := Weapon
Num Misc Abilities                              := 10
Misc Ability 1 Name                             := Point-Defense
Misc Ability 1 Spaces Per One                   := 800
Misc Ability 2 Name                             := Cloak Level
Misc Ability 2 Spaces Per One                   := 10000
Misc Ability 3 Name                             := Quantum Reactor
Misc Ability 3 Spaces Per One                   := 10000
Misc Ability 4 Name                             := Combat To Hit Defense Plus
Misc Ability 4 Spaces Per One                   := 10000
Misc Ability 5 Name                             := Combat To Hit Offense Plus
Misc Ability 5 Spaces Per One                   := 10000
Misc Ability 6 Name                             := Multiplex Tracking
Misc Ability 6 Spaces Per One                   := 10000
Misc Ability 7 Name                             := Shield Regeneration
Misc Ability 7 Spaces Per One                   := 800
Misc Ability 8 Name                             := Emergency Resupply
Misc Ability 8 Spaces Per One                   := 800
Misc Ability 9 Name                             := Scanner Jammer
Misc Ability 9 Spaces Per One                   := 10000
Misc Ability 10 Name                            := Supply Storage
Misc Ability 10 Spaces Per One                  := 500

Name                                            := Defense Base
Design Type                                     := Defense Base
Vehicle Type                                    := Base
Default Strategy                                := Optimal Firing Range
Size Minimum Tonnage                            := 10
Size Maximum Tonnage                            := 5000
Num Must Have At Least 1 Ability                := 1
Must Have Ability 1                             := Weapon
Minimum Speed                                   := 0
Desired Speed                                   := 0
Majority Weapon Family Pick 1                   := 34
Majority Weapon Family Pick 2                   := 1
Majority Weapon Family Pick 3                   := 25 
Majority Weapon Family Pick 4                   := 0 
Majority Weapon Family Pick 5                   := 0 
Secondary Weapon Family Pick 1                  := 35
Secondary Weapon Family Pick 2                  := 0
Secondary Weapon Family Pick 3                  := 0
Secondary Weapon Family Pick 4                  := 0
Secondary Weapon Family Pick 5                  := 0
Shields Spaces Per One                          := 200
Armor Spaces Per One                            := 400
Majority Comp Spaces Per One                    := 150
Majority Comp Ability                           := Weapon
Secondary Comp Spaces Per One                   := 200
Secondary Comp Ability                          := Weapon
Num Misc Abilities                              := 7
Misc Ability 1 Name                             := Point-Defense
Misc Ability 1 Spaces Per One                   := 400
